Y       Time X          Z
3724665      0    766961.9  2336
3724664 179  767024.6  2343
3724593 361  767004.8  2342
3724658 539  	       766954.1  2325
3724662 719  766957.0  2306
3724682 1080 766935.6	2330
3724662 1440 766957.2  2332
3724559      1620 767027.3  2360
3724568 1800 	  767038.1  2360
3724579 1979 767010.9  2339
3724534 2160 766872.5  2334
3724567 2519 766869.3	2299
3724555 3060 766843.4  2298
3724561 3240 766851.1  2296
3724554      3419 	       766855.4		2296
3724556 3599 766847.8  2298
3724555 4139 766846.2  2296
3724556 4681 766844.3  2300
3724586 4860 766884.8  2306
