time        x       y    z
0 766961.9 3724665 2336
179 767024.6 3724664 2343
361 767004.8 3724593 2342
539 766954.1 3724658 2325
719 766957.0 3724662 2306
1080 766935.6 3724682 2330
1440 766957.2 3724662 2332
1620 767027.3 3724559 2360
1800 767038.1 3724568 2360
1979 767010.9 3724579 2339
2160 766872.5 3724534 2334
2519 766869.3 3724567 2299
3060 766843.4 3724555 2298
3240 766851.1 3724561 2296
3419 766855.4 3724554 2296
3599 766847.8 3724556 2298
4139 766846.2 3724555 2296
4681 766844.3 3724556 2300
4860 766884.8 3724586 2306
5040 766882.4 3724583 2309
5579 766904.6 3724555 2316
6120 767041.6 3724548 2359
6299 767040.4 3724560 2347
6659 767044.5 3724536 2361
6840 767037.9 3724547 2369
7199 767037.9 3724531 2379
7381 767012.6 3724560 2353
7739 767057.8 3724603 2357
7921 767013.0 3724606 2354
8099 767015.5 3724603 2331
8459 767010.9 3724620 2342
8819 767031.0 3724589 2359
9000 767045.3 3724540 2356
9179 766929.5 3724635 2315
9360 766999.3 3724659 2318
10080 767024.4 3724690 2347
10440 767022.8 3724696 2328
10620 767019.1 3724731 2330
10800 767013.6 3724710 2340
12059 767088.0 3724726 2336
12780 766964.3 3724773 2293
12960 766843.0 3724559 2306
13140 766846.9 3724562 2293
13320 766840.7 3724555 2312
13499 766844.6 3724551 2315
13862 766875.6 3724579 2309
14040 766888.1 3724577 2288
14219 766877.3 3724586 2310
14400 766846.8 3724558 2299
15121 767036.0 3724223 2374
15660 767026.0 3724222 2379
15841 767021.2 3724216 2390
16019 767091.9 3724339 2406
16199 767084.6 3724344 2412
16380 767077.9 3724362 2408
16560 767080.7 3724365 2419
17099 767074.3 3724348 2411
17819 766956.7 3724214 2348
18179 766956.9 3724223 2333
18721 766937.2 3724208 2340
18900 767005.7 3724224 2378
19079 767257.2 3724303 2385
19259 767345.7 3724269 2348
19440 767352.9 3724259 2371
19980 767342.5 3724264 2361
20160 767338.0 3724260 2376
20700 767341.9 3724252 2361
21059 767368.0 3724287 2361
21779 767368.1 3724221 2343
21960 767366.1 3724258 2364
22139 767340.2 3724256 2362
22500 767335.8 3724251 2375
23219 767325.4 3724283 2362
23400 767311.8 3724313 2363
23579 767312.5 3724302 2370
24479 767333.5 3724285 2360
24660 767356.4 3724299 2345
25020 767351.3 3724256 2363
25561 767357.9 3724265 2356
25740 767329.8 3724286 2374
26099 767295.3 3724310 2392
26280 767245.6 3724308 2420
26459 767249.5 3724307 2428
26640 767274.8 3724274 2405
26819 767246.1 3724310 2411
27180 767242.1 3724309 2426
27361 767247.1 3724305 2436
27541 767161.2 3724375 2433
27900 767195.6 3724665 2393
28440 767186.7 3724660 2411
28800 767200.1 3724646 2369
28980 767164.6 3724541 2396
29341 767302.2 3724693 2397
30420 767287.7 3724659 2373
30600 767974.2 3724474 2374
30780 767980.7 3724474 2393
30960 767984.5 3724479 2382
31320 767927.1 3724495 2390
31501 767909.4 3724487 2393
31679 767919.5 3724486 2390
31860 767908.1 3724527 2405
32040 767888.1 3724528 2398
32219 767908.0 3724513 2366
32759 767908.8 3724523 2357
33120 767907.4 3724525 2383
33299 767915.5 3724530 2386
33481 767926.3 3724513 2399
33659 767789.1 3724439 2311
34379 767911.8 3724493 2371
34740 767836.8 3725114 2379
34919 767855.1 3725343 2489
35100 768100.7 3725261 2433
35280 768100.4 3725247 2445
35460 768105.7 3725246 2445
35639 768104.5 3725254 2434
36179 768087.8 3725262 2442
36359 768054.8 3725248 2413
36540 768066.8 3725254 2431
36900 768129.7 3725360 2435
37079 768265.8 3725357 2417
37440 768342.0 3725371 2429
37979 768288.9 3725354 2332
38339 768278.0 3725352 2310
38519 768292.4 3725342 2325
38699 768283.5 3725356 2335
38880 768282.5 3725355 2362
39059 768282.2 3725339 2345
39239 768264.4 3725358 2332
39780 768301.5 3725297 2363
39960 768298.4 3725292 2349
40139 768298.9 3725299 2366
40320 768275.1 3725318 2388
40499 768268.8 3725310 2360
40680 768092.5 3725346 2472
40860 768088.4 3725355 2473
41041 768078.7 3725355 2482
41220 768073.3 3725343 2475
41581 768067.4 3725349 2469
41759 768074.8 3725351 2498
41939 768090.2 3725388 2477
42120 768084.3 3725342 2450
42299 768064.2 3725297 2448
42480 768038.4 3725249 2463
42840 768096.4 3725262 2446
43200 768103.3 3725258 2464
43379 768061.9 3725253 2417
43559 768006.3 3725271 2423
